,Team,Number of Olympic Games,Gold,Silver,Bronze,Total,Number of Olympic Games,Gold,Silver,Bronze,Total,Number of Olympic Games,Gold,Silver,Bronze,Total
35,Dominican Republic ,15,3,5,4,12,0,0,0,0,0,15,3,5,4,12
36,Ecuador ,15,3,2,0,5,2,0,0,0,0,17,3,2,0,5
37,Egypt ,23,8,11,19,38,1,0,0,0,0,24,8,11,19,38
38,Eritrea ,6,0,0,1,1,2,0,0,0,0,8,0,0,1,1
39,Estonia ,13,10,9,17,36,11,4,2,2,8,24,14,11,19,44
40,Ethiopia ,14,23,12,23,58,2,0,0,0,0,16,23,12,23,58
41,Fiji ,15,2,0,1,3,3,0,0,0,0,18,2,0,1,3
42,Finland ,26,101,85,119,305,24,45,65,65,175,50,146,150,184,480
43,France ,29,223,251,277,751,24,41,42,55,138,53,264,293,332,889
44,Gabon ,11,0,1,0,1,0,0,0,0,0,11,0,1,0,1
45,Georgia ,7,10,12,18,40,8,0,0,0,0,15,10,12,18,40
46,Germany ,17,201,207,247,655,13,104,98,65,267,30,305,305,312,922
47,United Team of Germany ,3,28,54,36,118,3,8,6,5,19,6,36,60,41,137
48,East Germany ,5,153,129,127,409,6,39,36,35,110,11,192,165,162,519
49,West Germany ,5,56,67,81,204,6,11,15,13,39,11,67,82,94,243
50,Ghana ,15,0,1,4,5,3,0,0,0,0,18,0,1,4,5
51,Great Britain ,29,284,318,314,916,24,12,5,17,34,53,296,323,331,950
52,Greece ,29,35,45,41,121,20,0,0,0,0,49,35,45,41,121
53,Grenada ,10,1,1,1,3,0,0,0,0,0,10,1,1,1,3
54,Guatemala ,15,0,1,0,1,1,0,0,0,0,16,0,1,0,1
55,Guyana ,18,0,0,1,1,0,0,0,0,0,18,0,0,1,1
56,Haiti ,16,0,1,1,2,1,0,0,0,0,17,0,1,1,2
57,Hong Kong ,17,2,3,4,9,6,0,0,0,0,23,2,3,4,9
58,Hungary ,27,181,154,176,511,24,2,2,6,10,51,183,156,182,521
59,Iceland ,21,0,2,2,4,19,0,0,0,0,40,0,2,2,4
60,India ,25,10,9,16,35,11,0,0,0,0,36,10,9,16,35
61,Indonesia ,16,8,14,15,37,0,0,0,0,0,16,8,14,15,37
62,Iran ,17,24,23,29,76,12,0,0,0,0,29,24,23,29,76
63,Iraq ,15,0,0,1,1,0,0,0,0,0,15,0,0,1,1
64,Ireland ,22,11,10,14,35,8,0,0,0,0,30,11,10,14,35
65,Israel ,17,3,1,9,13,8,0,0,0,0,25,3,1,9,13
66,Italy ,28,217,188,213,618,24,42,43,56,141,52,259,231,269,759
67,Jamaica ,18,26,36,26,88,9,0,0,0,0,27,26,36,26,88
68,Japan ,23,169,150,178,497,22,17,28,31,76,45,186,178,209,573
69,Jordan ,11,1,1,1,3,0,0,0,0,0,11,1,1,1,3
